,0,1,2,3,4,5,6,7
0,1.0,-0.7507525,0.7126107,1.0,15.0,20.0,2.0,11.0
1,1.0,-0.75950575,0.79079026,1.0,0.0,20.0,2.0,12.0
2,1.0,-0.58552194,0.5713567,1.0,-30.0,-40.0,2.0,14.0
3,1.0,-0.71157306,0.70205647,1.0,-15.0,-20.0,2.0,12.0
4,1.0,0.08612038,-0.028487451,0.0,15.0,0.0,2.0,13.0
5,1.0,-0.46921825,0.46229962,1.0,30.0,20.0,2.0,12.0
6,1.0,-0.9557476,0.73577446,1.0,30.0,0.0,2.0,14.0
7,1.0,-0.6391176,0.52919894,1.0,15.0,-40.0,2.0,15.0
8,1.0,-1.5739931,1.2579594,1.0,30.0,0.0,2.0,17.0
9,1.0,-0.8235351,0.7449091,1.0,-15.0,0.0,2.0,14.0
10,1.0,-1.4144856,1.3520457,1.0,-15.0,0.0,2.0,11.0
11,1.0,-0.49743417,0.4501173,1.0,15.0,20.0,2.0,16.0
12,1.0,0.6140051,-0.5046732,0.0,-30.0,-40.0,2.0,13.0
13,1.0,-0.52064997,0.6105403,1.0,15.0,0.0,2.0,12.0
14,1.0,-1.3265065,1.0489789,1.0,15.0,-20.0,2.0,15.0
15,1.0,-1.2732126,1.1316968,1.0,0.0,-20.0,2.0,14.0
16,1.0,-0.6117641,0.47794983,1.0,-15.0,20.0,2.0,15.0
17,1.0,-0.8591369,0.863957,1.0,-30.0,-40.0,2.0,11.0
18,1.0,-0.54947984,0.511529,1.0,30.0,40.0,2.0,16.0
19,1.0,-1.1347951,0.988541,1.0,30.0,0.0,2.0,11.0
20,1.0,-0.36477134,0.23611583,1.0,0.0,40.0,2.0,17.0
21,1.0,-0.74862003,0.36153153,1.0,-30.0,-20.0,2.0,17.0
22,1.0,0.22985503,-0.16377294,0.0,15.0,-40.0,2.0,13.0
23,1.0,-0.5434253,0.47883937,1.0,15.0,0.0,2.0,14.0
24,1.0,-0.07267576,0.093315,1.0,0.0,40.0,2.0,13.0
25,1.0,-0.3960549,0.40988013,1.0,30.0,40.0,2.0,13.0
26,1.0,-0.31038636,0.15769191,1.0,0.0,40.0,2.0,15.0
27,1.0,-0.61307603,0.68486726,1.0,-15.0,20.0,2.0,11.0
28,1.0,-0.8082027,0.70050794,1.0,-30.0,40.0,2.0,14.0
29,1.0,-1.133871,0.9981405,1.0,15.0,-20.0,2.0,14.0
30,1.0,-1.23776,1.082033,1.0,30.0,-20.0,2.0,14.0
31,1.0,-0.8404267,0.86310667,1.0,-15.0,-40.0,2.0,12.0
32,1.0,-0.26505098,0.46148068,1.0,30.0,-40.0,2.0,11.0
33,1.0,-0.2530082,0.35730544,1.0,15.0,-20.0,2.0,12.0
34,1.0,-0.8137782,0.8221112,1.0,-15.0,40.0,2.0,12.0
35,1.0,-0.49471545,0.4327023,1.0,15.0,20.0,2.0,14.0
36,1.0,-0.63770676,0.59731025,1.0,30.0,0.0,2.0,16.0
37,1.0,-0.25579548,0.44814977,1.0,-30.0,40.0,2.0,12.0
38,1.0,-0.7911917,0.5874923,1.0,0.0,-40.0,2.0,15.0
39,1.0,-0.529012,0.5082855,1.0,15.0,0.0,2.0,11.0
40,1.0,-0.45535043,0.38103023,1.0,15.0,-20.0,2.0,13.0
41,1.0,-1.1384516,0.9050228,1.0,0.0,-40.0,2.0,17.0
42,1.0,-1.4513475,1.3660177,1.0,30.0,-20.0,2.0,11.0
43,1.0,-0.024840914,0.05454084,1.0,-15.0,20.0,2.0,16.0
44,1.0,-0.6622974,0.712045,1.0,-30.0,0.0,2.0,12.0
45,1.0,1.0484809,-0.9777048,0.0,-30.0,0.0,2.0,13.0
46,1.0,-0.63594973,0.5883029,1.0,-30.0,0.0,2.0,16.0
47,1.0,-0.93493176,0.8126041,1.0,30.0,40.0,2.0,17.0
48,1.0,0.8458905,-0.7218166,0.0,0.0,20.0,2.0,13.0
49,1.0,-0.9694883,0.6398815,1.0,-30.0,20.0,2.0,15.0
50,1.0,0.16129959,-0.14898251,0.0,0.0,-40.0,2.0,16.0
51,1.0,-0.6211926,0.7345784,1.0,-15.0,20.0,2.0,12.0
